Entity Name,Plant State,Technology,Nameplate Capacity (MW),County,Sector,Operating Year
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Niagara,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Niagara,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Niagara,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Albany,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Albany,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Albany,IPP Non-CHP,2006.0
Innovative Energy Systems Inc,NY,Landfill Gas,1.6,Albany,IPP Non-CHP,2016.0
"Golden Spread Electric Cooperative, Inc",TX,Natural Gas Fired Combustion Turbine,153.0,Yoakum,Electric Utility,2006.0
"Golden Spread Electric Cooperative, Inc",TX,Natural Gas Fired Combustion Turbine,153.0,Yoakum,Electric Utility,2007.0
"Golden Spread Electric Cooperative, Inc",TX,Natural Gas Fired Combustion Turbine,166.1,Yoakum,Electric Utility,2013.0
"Leeward Asset Management, LLC",TX,Onshore Wind Turbine,241.0,Nolan,IPP Non-CHP,2007.0
High Trail Wind Farm LLC,IL,Onshore Wind Turbine,210.9,McLean,IPP Non-CHP,2007.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Stanly,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Gaston,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Lincoln,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Catawba,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Union,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Burke,Electric Utility,2006.0
North Carolina Mun Power Agny #1,NC,Petroleum Liquids,1.8,Mecklenburg,Electric Utility,2006.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
Bear Valley Electric Service,CA,Natural Gas Internal Combustion Engine,1.2,San Bernardino,Electric Utility,2005.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,90.6,Ector,IPP Non-CHP,2007.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,90.6,Ector,IPP Non-CHP,2007.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,86.5,Ector,IPP Non-CHP,2002.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,86.5,Ector,IPP Non-CHP,2002.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,98.1,Ector,IPP Non-CHP,2007.0
"Quail Run Energy Partners, LP",TX,Natural Gas Fired Combined Cycle,98.1,Ector,IPP Non-CHP,2008.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,90.0,Wharton,IPP Non-CHP,2002.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,90.0,Wharton,IPP Non-CHP,2002.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,90.0,Wharton,IPP Non-CHP,2002.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,90.0,Wharton,IPP Non-CHP,2002.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combustion Turbine,37.0,Wharton,IPP Non-CHP,2023.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combustion Turbine,37.0,Wharton,IPP Non-CHP,2023.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,105.1,Wharton,IPP Non-CHP,2007.0
CER Colorado Bend Energy Partners LP,TX,Natural Gas Fired Combined Cycle,115.0,Wharton,IPP Non-CHP,2008.0
City of Riverside - (CA),CA,Natural Gas Fired Combined Cycle,41.0,Riverside,Electric Utility,2005.0
City of Riverside - (CA),CA,Natural Gas Fired Combined Cycle,8.0,Riverside,Electric Utility,2005.0
Avangrid Power LLC,CA,Onshore Wind Turbine,150.0,Solano,IPP Non-CHP,2006.0
City of Danville - (VA),VA,Petroleum Liquids,1.8,Pittsylvania,Electric Utility,2005.0
Town of Culpeper- (VA),VA,Petroleum Liquids,1.8,Culpeper,Electric Utility,2004.0
Town of Culpeper- (VA),VA,Petroleum Liquids,1.8,Culpeper,Electric Utility,2004.0
Town of Culpeper- (VA),VA,Petroleum Liquids,1.8,Culpeper,Electric Utility,2004.0
Town of Culpeper- (VA),VA,Petroleum Liquids,1.5,Culpeper,Electric Utility,1997.0
City of Manassas - (VA),VA,Petroleum Liquids,1.8,Prince William,Electric Utility,2007.0
"Leeward Asset Management, LLC",TX,Onshore Wind Turbine,80.5,Nolan,IPP Non-CHP,2007.0
Austin Energy,TX,Natural Gas Fired Combustion Turbine,4.6,Travis,Electric Utility,2006.0
Austin Energy,TX,Petroleum Liquids,1.5,Travis,Electric Utility,2006.0
Illinois Rural Electric Coop,IL,Onshore Wind Turbine,1.7,Pike,Electric Utility,2005.0
"Big Sky Wind, LLC",TX,Onshore Wind Turbine,124.2,Glasscock,IPP Non-CHP,2006.0
Mesquite Wind LLC,TX,Onshore Wind Turbine,200.0,Shackelford,IPP Non-CHP,2007.0
Fort Pierce Utilities Authority,FL,Natural Gas Fired Combined Cycle,219.6,St Lucie,Electric Utility,2008.0
Fort Pierce Utilities Authority,FL,Natural Gas Fired Combined Cycle,191.8,St Lucie,Electric Utility,2008.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,527.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,527.0,Palm Beach,Electric Utility,2009.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2011.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2011.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,298.0,Palm Beach,Electric Utility,2011.0
Florida Power & Light Co,FL,Natural Gas Fired Combined Cycle,527.0,Palm Beach,Electric Utility,2011.0
"Agriwind Holdings, LLC",IL,Onshore Wind Turbine,8.4,Bureau,IPP Non-CHP,2007.0
"Stahl Wind Energy, LLC (Longroad)",MN,Onshore Wind Turbine,1.7,Pipestone,IPP Non-CHP,2004.0
"Carstensen Wind, LLC (Longroad)",MN,Onshore Wind Turbine,1.7,Pipestone,IPP Non-CHP,2004.0
Northern Lights Wind LLC (Longroad),MN,Onshore Wind Turbine,1.7,Pipestone,IPP Non-CHP,2004.0
